size,level,run,mode,layer,input,within,abx
1024,2,1,random,codebook,fragments,True,0.7744946008551934
1024,2,2,trained,codebook,triplets,True,0.7908785588631094
1024,2,2,trained,codebook,fragments,True,0.7505078259408784
1024,2,2,random,codebook,triplets,True,0.7577631524131992
1024,2,2,random,codebook,fragments,True,0.7445325631245575
1024,3,0,trained,codebook,triplets,True,0.7641808388414194
1024,3,0,trained,codebook,fragments,True,0.6593728833210126
1024,3,0,random,codebook,triplets,True,0.7403920683110758
1024,3,0,random,codebook,fragments,True,0.7624479576301194
1024,3,1,trained,codebook,triplets,True,0.7471569685169872
1024,3,1,trained,codebook,fragments,True,0.7061405669203336
1024,3,1,random,codebook,triplets,True,0.7424051009245297
1024,3,1,random,codebook,fragments,True,0.7892178212485768
1024,3,2,trained,codebook,triplets,True,0.7415274118481047
1024,3,2,trained,codebook,fragments,True,0.6727091146287576
1024,3,2,random,codebook,triplets,True,0.7363783067657131
1024,3,2,random,codebook,fragments,True,0.7391652259777259
