epoch,mode,layer,size,level,run,reference,input,rsa,pooling
,trained,rnn_bottom2,128,3,1,phoneme,complete,0.15985789413196072,mean
,trained,rnn_top0,128,3,1,phoneme,complete,0.1876102383383931,mean
,random,rnn_bottom0,128,3,1,phoneme,complete,-0.005503874128669538,mean
,random,rnn_bottom1,128,3,1,phoneme,complete,-0.005622215657586093,mean
,random,rnn_bottom2,128,3,1,phoneme,complete,-0.005588282122985993,mean
,random,rnn_top0,128,3,1,phoneme,complete,-0.009537662741959095,mean
,random,mfcc,128,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,128,3,2,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,128,3,2,phoneme,complete,0.03935383843913674,mean
,trained,rnn_bottom1,128,3,2,phoneme,complete,0.16430911395362777,mean
,trained,rnn_bottom2,128,3,2,phoneme,complete,0.14962854561257727,mean
,trained,rnn_top0,128,3,2,phoneme,complete,0.17357946882196734,mean
,random,rnn_bottom0,128,3,2,phoneme,complete,0.0012639140176752153,mean
,random,rnn_bottom1,128,3,2,phoneme,complete,0.0014979655994030643,mean
,random,rnn_bottom2,128,3,2,phoneme,complete,0.002254011843367843,mean
,random,rnn_top0,128,3,2,phoneme,complete,0.009672427853564664,mean
,random,mfcc,256,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,1,0,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,1,0,phoneme,complete,0.032597718771322025,mean
,trained,rnn_top0,256,1,0,phoneme,complete,0.12404120766605509,mean
,trained,rnn_top1,256,1,0,phoneme,complete,0.21206822869935094,mean
,trained,rnn_top2,256,1,0,phoneme,complete,0.2581215318350423,mean
,random,rnn_bottom0,256,1,0,phoneme,complete,-0.002499947516241695,mean
,random,rnn_top0,256,1,0,phoneme,complete,-0.002347746032078282,mean
,random,rnn_top1,256,1,0,phoneme,complete,-0.00218302302796331,mean
,random,rnn_top2,256,1,0,phoneme,complete,-0.001047029335664555,mean
,random,mfcc,256,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,mfcc,256,1,1,phoneme,complete,-0.002701205558743177,mean
,trained,rnn_bottom0,256,1,1,phoneme,complete,0.03485543340515592,mean
,trained,rnn_top0,256,1,1,phoneme,complete,0.1265740045668455,mean
