mean_duration,mean_duration_labels,size,level,run,layer,mode,reference
11.472973868115126,15.113261054514517,128,3,1,codebook,trained,word
9.918351030605871,5.336927296192729,128,3,1,codebook,random,phoneme
8.646685138036045,15.113261054514517,128,3,1,codebook,random,word
14.04227021099733,5.336927296192729,128,3,2,codebook,trained,phoneme
12.242569358543912,15.113261054514517,128,3,2,codebook,trained,word
10.195888071297402,5.336927296192729,128,3,2,codebook,random,phoneme
8.88795237911968,15.113261054514517,128,3,2,codebook,random,word
1.8365277411535028,5.336927296192729,256,1,0,codebook,trained,phoneme
1.6007148616832751,15.113261054514517,256,1,0,codebook,trained,word
3.9147396136361396,5.336927296192729,256,1,0,codebook,random,phoneme
3.4123885000517173,15.113261054514517,256,1,0,codebook,random,word
1.8210977083863746,5.336927296192729,256,1,1,codebook,trained,phoneme
1.5871721679526418,15.113261054514517,256,1,1,codebook,trained,word
3.9693039904812375,5.336927296192729,256,1,1,codebook,random,phoneme
3.460055935673975,15.113261054514517,256,1,1,codebook,random,word
1.8329535669185362,5.336927296192729,256,1,2,codebook,trained,phoneme
1.5975442156478428,15.113261054514517,256,1,2,codebook,trained,word
4.053545992474562,5.336927296192729,256,1,2,codebook,random,phoneme
3.5331252645482407,15.113261054514517,256,1,2,codebook,random,word
3.3328324063385453,5.336927296192729,256,2,0,codebook,trained,phoneme
2.905131312453612,15.113261054514517,256,2,0,codebook,trained,word
5.117066254189224,5.336927296192729,256,2,0,codebook,random,phoneme
4.460628653841201,15.113261054514517,256,2,0,codebook,random,word
3.4036704720341926,5.336927296192729,256,2,1,codebook,trained,phoneme
2.9665707507985855,15.113261054514517,256,2,1,codebook,trained,word
5.25602086615737,5.336927296192729,256,2,1,codebook,random,phoneme
4.5816629522593955,15.113261054514517,256,2,1,codebook,random,word
3.21792065885252,5.336927296192729,256,2,2,codebook,trained,phoneme
2.804920707538958,15.113261054514517,256,2,2,codebook,trained,word
5.1159122394407035,5.336927296192729,256,2,2,codebook,random,phoneme
4.459795938073321,15.113261054514517,256,2,2,codebook,random,word
9.813655690695144,5.336927296192729,256,3,0,codebook,trained,phoneme
8.552856067059246,15.113261054514517,256,3,0,codebook,trained,word
7.9219739979844945,5.336927296192729,256,3,0,codebook,random,phoneme
6.9074856926359445,15.113261054514517,256,3,0,codebook,random,word
11.282385039504348,5.336927296192729,256,3,1,codebook,trained,phoneme
9.836677031420823,15.113261054514517,256,3,1,codebook,trained,word
7.508004803827932,5.336927296192729,256,3,1,codebook,random,phoneme
6.545610007274926,15.113261054514517,256,3,1,codebook,random,word
12.072560289511298,5.336927296192729,256,3,2,codebook,trained,phoneme
10.525942357070146,15.113261054514517,256,3,2,codebook,trained,word
8.008109334812648,5.336927296192729,256,3,2,codebook,random,phoneme
6.981830091706137,15.113261054514517,256,3,2,codebook,random,word
1.710218913638645,5.336927296192729,512,1,0,codebook,trained,phoneme
1.4906063487828702,15.113261054514517,512,1,0,codebook,trained,word
3.4598396374411715,5.336927296192729,512,1,0,codebook,random,phoneme
3.01598088040677,15.113261054514517,512,1,0,codebook,random,word
1.7174215877136059,5.336927296192729,512,1,1,codebook,trained,phoneme
1.4967895398628532,15.113261054514517,512,1,1,codebook,trained,word
3.4207694064222043,5.336927296192729,512,1,1,codebook,random,phoneme
2.9817130904834044,15.113261054514517,512,1,1,codebook,random,word
1.7077175556592756,5.336927296192729,512,1,2,codebook,trained,phoneme
1.48836155133485,15.113261054514517,512,1,2,codebook,trained,word
3.5778810233023446,5.336927296192729,512,1,2,codebook,random,phoneme
3.1187573714110792,15.113261054514517,512,1,2,codebook,random,word
2.824107733568568,5.336927296192729,512,2,0,codebook,trained,phoneme
2.461834488787182,15.113261054514517,512,2,0,codebook,trained,word
4.7868085491212735,5.336927296192729,512,2,0,codebook,random,phoneme
4.172480456751906,15.113261054514517,512,2,0,codebook,random,word
2.738968597025635,5.336927296192729,512,2,1,codebook,trained,phoneme
2.3874666161241964,15.113261054514517,512,2,1,codebook,trained,word
4.516882185951518,5.336927296192729,512,2,1,codebook,random,phoneme
3.936962636738173,15.113261054514517,512,2,1,codebook,random,word
2.9040805278789743,5.336927296192729,512,2,2,codebook,trained,phoneme
2.531097699091766,15.113261054514517,512,2,2,codebook,trained,word
4.567053599162477,5.336927296192729,512,2,2,codebook,random,phoneme
3.9814434885551897,15.113261054514517,512,2,2,codebook,random,word
