rsa,mode,layer,reference,size,level,run,input
0.04388510303587347,random,codebook,phoneme,256,2,2,complete
0.013863086029402,random,codebook,word,256,2,2,complete
0.135801990265498,trained,codebook,phoneme,256,2,2,trigram
0.09303000291107227,trained,codebook,word,256,2,2,trigram
0.04129097366715584,random,codebook,phoneme,256,2,2,trigram
0.012863560005026847,random,codebook,word,256,2,2,trigram
0.2821399941776358,trained,codebook,phoneme,256,3,0,complete
0.1903981124060795,trained,codebook,word,256,3,0,complete
0.015589202737931577,random,codebook,phoneme,256,3,0,complete
0.020424358395355252,random,codebook,word,256,3,0,complete
0.07453273544505125,trained,codebook,phoneme,256,3,0,trigram
0.04631607787998675,trained,codebook,word,256,3,0,trigram
0.0509455826769291,random,codebook,phoneme,256,3,0,trigram
0.015762921687801985,random,codebook,word,256,3,0,trigram
0.24931582231481283,trained,codebook,phoneme,256,3,1,complete
0.1732922311557306,trained,codebook,word,256,3,1,complete
0.01948043228937382,random,codebook,phoneme,256,3,1,complete
0.02035990506334056,random,codebook,word,256,3,1,complete
0.06712613847217085,trained,codebook,phoneme,256,3,1,trigram
0.04022623508391129,trained,codebook,word,256,3,1,trigram
0.04719292174810177,random,codebook,phoneme,256,3,1,trigram
0.014247133512508451,random,codebook,word,256,3,1,trigram
0.21802485982840367,trained,codebook,phoneme,256,3,2,complete
0.1470402458199586,trained,codebook,word,256,3,2,complete
0.023056264108523506,random,codebook,phoneme,256,3,2,complete
0.021709381859950083,random,codebook,word,256,3,2,complete
0.05990471546195965,trained,codebook,phoneme,256,3,2,trigram
0.03591096868407414,trained,codebook,word,256,3,2,trigram
0.05600419391866892,random,codebook,phoneme,256,3,2,trigram
0.0172590249579299,random,codebook,word,256,3,2,trigram
0.22601828461715714,trained,codebook,phoneme,512,1,0,complete
0.07417150150525893,trained,codebook,word,512,1,0,complete
0.04700661918272119,random,codebook,phoneme,512,1,0,complete
-0.008231388898348123,random,codebook,word,512,1,0,complete
0.14891921560928098,trained,codebook,phoneme,512,1,0,trigram
0.10346178130104686,trained,codebook,word,512,1,0,trigram
0.0625266367272296,random,codebook,phoneme,512,1,0,trigram
0.02078518394683437,random,codebook,word,512,1,0,trigram
0.23619474906403792,trained,codebook,phoneme,512,1,1,complete
0.08279128325291285,trained,codebook,word,512,1,1,complete
0.05207820879241193,random,codebook,phoneme,512,1,1,complete
0.008236634233939333,random,codebook,word,512,1,1,complete
0.14916631690981652,trained,codebook,phoneme,512,1,1,trigram
0.10300248572403375,trained,codebook,word,512,1,1,trigram
0.06250443299749793,random,codebook,phoneme,512,1,1,trigram
0.020498418894498313,random,codebook,word,512,1,1,trigram
0.23109848379731707,trained,codebook,phoneme,512,1,2,complete
0.08282671154512984,trained,codebook,word,512,1,2,complete
0.048061618637996545,random,codebook,phoneme,512,1,2,complete
0.0055191405672017965,random,codebook,word,512,1,2,complete
0.15177089091163365,trained,codebook,phoneme,512,1,2,trigram
0.10374077796714416,trained,codebook,word,512,1,2,trigram
0.06303493098243906,random,codebook,phoneme,512,1,2,trigram
0.019044833869989466,random,codebook,word,512,1,2,trigram
0.30698211462639186,trained,codebook,phoneme,512,2,0,complete
0.1728170047886866,trained,codebook,word,512,2,0,complete
0.04073509803254807,random,codebook,phoneme,512,2,0,complete
0.012544399969067801,random,codebook,word,512,2,0,complete
0.138608458176279,trained,codebook,phoneme,512,2,0,trigram
0.11414075005842436,trained,codebook,word,512,2,0,trigram
0.060270503963053314,random,codebook,phoneme,512,2,0,trigram
0.019035001380219265,random,codebook,word,512,2,0,trigram
0.3013344961495378,trained,codebook,phoneme,512,2,1,complete
